State,Year,Biodiesel,CNG,E85,Electric Stations,Electric Charging Outlets,Electric Total,Hydrogen Retail,Hydrogen Non-Retail,Hydrogen Total,LNG,Propane Primary,Propane Secondary,Propane Total,Total
New Mexico,2020,3.0,11.0,14.0,120.0,376.0,496.0,0.0,0.0,0.0,1.0,34.0,21.0,55.0,460.0
New York,2020,28.0,62.0,75.0,2036.0,6134.0,8170.0,0.0,1.0,1.0,0.0,13.0,30.0,43.0,6343.0
North Carolina,2020,112.0,38.0,96.0,813.0,2267.0,3080.0,0.0,0.0,0.0,2.0,13.0,69.0,82.0,2597.0
North Dakota,2020,1.0,1.0,38.0,42.0,101.0,143.0,0.0,0.0,0.0,0.0,5.0,19.0,24.0,165.0
Ohio,2020,12.0,54.0,193.0,656.0,1845.0,2501.0,0.0,1.0,1.0,3.0,27.0,48.0,75.0,2183.0
Oklahoma,2020,3.0,117.0,69.0,263.0,693.0,956.0,0.0,0.0,0.0,0.0,29.0,93.0,122.0,1004.0
Oregon,2020,37.0,15.0,4.0,745.0,2121.0,2866.0,0.0,0.0,0.0,2.0,31.0,21.0,52.0,2231.0
Pennsylvania,2020,5.0,88.0,143.0,757.0,2054.0,2811.0,0.0,0.0,0.0,3.0,34.0,56.0,90.0,2383.0
Rhode Island,2020,4.0,3.0,0.0,148.0,550.0,698.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,562.0
South Carolina,2020,34.0,11.0,49.0,309.0,734.0,1043.0,0.0,1.0,1.0,1.0,19.0,36.0,55.0,885.0
South Dakota,2020,0.0,0.0,80.0,45.0,133.0,178.0,0.0,0.0,0.0,0.0,7.0,16.0,23.0,236.0
Tennessee,2020,9.0,21.0,89.0,494.0,1345.0,1839.0,0.0,0.0,0.0,4.0,18.0,45.0,63.0,1531.0
Texas,2020,26.0,112.0,241.0,1579.0,4807.0,6386.0,0.0,0.0,0.0,16.0,159.0,269.0,428.0,5630.0
Utah,2020,0.0,48.0,2.0,444.0,1606.0,2050.0,0.0,0.0,0.0,0.0,20.0,23.0,43.0,1699.0
